date,demand,sku,supermarket,promotion,year,month,quarter,week_of_year,day_of_week,day_of_month,is_weekend,lag_1,lag_7,lag_14,lag_28,lag_56,demand_change_1,demand_change_7,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_28,rolling_std_28,target
2019-02-26,66.0,0,0,0,2019,2,1,9,1,26,0,66.0,67.0,68.0,71.0,68.0,0.0,-1.0,67.71428571428571,2.138089935299406,68.07142857142857,1.9792883614022547,67.57142857142857,2.201490596518829,71.0
2019-02-27,70.0,0,0,0,2019,2,1,9,2,27,0,66.0,71.0,68.0,68.0,68.0,4.0,-1.0,67.57142857142857,2.2253945610567576,67.92857142857143,2.055547305530752,67.39285714285714,2.1141373464315656,71.0
2019-02-28,70.0,0,0,0,2019,2,1,9,3,28,0,70.0,70.0,71.0,68.0,68.0,0.0,0.0,67.42857142857143,1.988059594776021,68.07142857142857,2.1290765681316017,67.46428571428571,2.1684973950597533,71.0
2019-03-01,70.0,0,0,0,2019,3,1,9,4,1,0,70.0,68.0,66.0,69.0,68.0,0.0,2.0,67.42857142857143,1.988059594776021,68.0,2.0380986614602747,67.53571428571429,2.21914469438186,71.0
2019-03-02,67.0,0,0,0,2019,3,1,9,5,2,1,70.0,67.0,67.0,64.0,71.0,-3.0,0.0,67.71428571428571,2.2146697055682916,68.28571428571429,2.0164161440372554,67.57142857142857,2.2513958045583755,69.0
2019-03-03,64.0,0,0,0,2019,3,1,9,6,3,1,67.0,65.0,68.0,66.0,65.0,-3.0,-1.0,67.71428571428571,2.2146697055682916,68.28571428571429,2.0164161440372554,67.67857142857143,2.1439591522603307,68.0
2019-03-04,66.0,0,0,0,2019,3,1,10,0,4,0,64.0,66.0,71.0,63.0,65.0,2.0,0.0,67.57142857142857,2.43975018237134,68.0,2.320477404461289,67.60714285714286,2.2334044054078572,71.0
2019-03-05,70.0,0,0,0,2019,3,1,10,1,5,0,66.0,66.0,67.0,66.0,65.0,4.0,4.0,67.57142857142857,2.43975018237134,67.64285714285714,2.2051388533689646,67.71428571428571,2.070196678027061,72.0
2019-03-06,69.0,0,0,0,2019,3,1,10,2,6,0,70.0,70.0,71.0,67.0,69.0,-1.0,-1.0,68.14285714285714,2.478478796128218,67.85714285714286,2.282277636220279,67.85714285714286,2.085475089567446,71.0
2019-03-07,69.0,0,0,0,2019,3,1,10,3,7,0,69.0,70.0,70.0,70.0,69.0,0.0,-1.0,68.0,2.380476142847624,67.71428571428571,2.127785827444236,67.92857142857143,2.089277235093363,71.0
2019-03-08,68.0,0,0,0,2019,3,1,10,4,8,0,69.0,70.0,68.0,70.0,67.0,-1.0,-2.0,67.85714285714286,2.267786838055371,67.64285714285714,2.0608863984346097,67.89285714285714,2.0609110842912406,72.0
2019-03-09,66.0,0,0,0,2019,3,1,10,5,9,1,68.0,67.0,67.0,66.0,66.0,-2.0,-1.0,67.57142857142857,2.0701966780270715,67.64285714285714,2.0608863984346097,67.82142857142857,2.019416333508849,69.0
2019-03-10,66.0,0,0,0,2019,3,1,10,6,10,1,66.0,64.0,65.0,66.0,65.0,0.0,2.0,67.42857142857143,2.149196970742247,67.57142857142857,2.1018045621756687,67.82142857142857,2.019416333508849,68.0
